iter	Passed	Remaining
283	82576	100603
284	82794	100224
285	83068	99915
286	83288	99539
287	83541	99205
288	83789	98865
289	83975	98454
290	84241	98136
291	84488	97797
292	84738	97464
293	84982	97123
294	85230	96786
295	85483	96457
296	85739	96132
297	85993	95805
298	86212	95439
299	86507	95157
300	86871	94952
301	87184	94690
302	87514	94446
303	88434	94834
304	88760	94581
305	89055	94293
306	89330	93986
307	89579	93651
308	89778	93265
309	90013	92917
310	90277	92599
311	90568	92310
312	90843	92004
313	91108	91688
314	91364	91364
315	91610	91030
316	91847	90688
317	92046	90309
318	92300	89985
319	92537	89645
320	92786	89318
321	93025	88980
322	93139	88525
323	93364	88177
324	93618	87857
325	93849	87516
326	94114	87206
327	94363	86883
328	94627	86574
329	94874	86249
330	95141	85943
331	95385	85616
332	95601	85265
333	95843	84938
334	96085	84612
335	96285	84249
336	96514	83913
337	96775	83605
338	97071	83327
339	97381	83060
340	97699	82801
341	98015	82539
342	98897	82751
343	99179	82457
344	99484	82182
345	99748	81874
346	99960	81523
347	100217	81211
348	100487	80908
349	100760	80608
350	101027	80303
351	101222	79942
352	101474	79627
353	101729	79314
354	102012	79023
355	102257	78703
356	102470	78360
357	102736	78056
358	102956	77719
359	103193	77395
360	103388	77039
361	103664	76746
362	103913	76431
363	104191	76140
364	104446	75830
365	104690	75514
366	104945	75206
367	105224	74915
368	105529	74642
369	105777	74329
370	106043	74030
371	106133	73608
372	106435	73334
373	106720	73049
374	107002	72761
375	107282	72472
376	107366	72052
377	107698	71799
378	108006	71529
379	108306	71254
380	109225	71383
381	109360	70998
382	109712	70754
383	110016	70479
384	110278	70177
385	110579	69899
386	110835	69594
387	111073	69277
388	111357	68990
389	111607	68681
390	111879	68386
391	112112	68068
392	112341	67747
393	112603	67448
394	112864	67147
395	113095	66829
396	113316	66505
397	113553	66191
398	113872	65926
399	114141	65631
400	114363	65309
401	114601	64997
402	114841	64687
403	115092	64383
404	115401	64111
405	115698	63833
406	115934	63521
407	116190	63221
408	116435	62914
409	116547	62537
410	116796	62234
411	117041	61929
412	117288	61626
413	117610	61361
414	117920	61091
415	118239	60825
416	118556	60557
417	118929	60318
418	119629	60243
419	119913	59956
420	120203	59673
421	120464	59376
422	120786	59108
423	121051	58812
424	121307	58513
425	121595	58229
426	121843	57925
427	122108	57630
428	122361	57330
429	122612	57028
430	122875	56733
431	123147	56442
432	123431	56157
433	123686	55858
434	123908	55545
435	124179	55254
436	124443	54960
437	124705	54665
438	124959	54367
439	125227	54075
440	125451	53765
441	125670	53452
442	125932	53159
443	126155	52848
444	126224	52475
445	126467	52175
446	126753	51892
447	127025	51604
448	127058	51219
449	127271	50908
450	127511	50608
451	127763	50314
452	128077	50043
453	128384	49770
454	128735	49513
455	129036	49237
456	129338	48962
457	130206	48898
458	130517	48624
459	130888	48371
460	131160	48082
461	131435	47794
462	131557	47451
463	131799	47152
464	132077	46866
465	132360	46581
466	132604	46283
467	132855	45988
468	133107	45693
469	133338	45391
470	133587	45096
471	133817	44794
472	134062	44498
473	134207	44169
474	134417	43862
475	134664	43567
476	134946	43284
477	135124	42968
478	135202	42621
479	135457	42330
480	135744	42049
481	135815	41702
482	136074	41413
483	136314	41119
484	136494	40807
485	136726	40511
486	136948	40212
487	137212	39926
488	137463	39636
489	137719	39348
490	137968	39058
491	138238	38774
492	138535	38497
493	138855	38227
494	139175	37956
495	139503	37688
496	139830	37419
497	140686	37290
498	140974	37009
499	141278	36732
500	141540	36444
501	141811	36158
502	142056	35867
503	142297	35574
504	142594	35295
505	142863	35010
506	143125	34722
507	143365	34430
508	143616	34140
509	143843	33845
510	144100	33557
511	144351	33268
512	144637	32987
513	144853	32690
514	145107	32402
515	145180	32074
516	145388	31777
517	145642	31490
518	145927	31209
519	146182	30923
520	146456	30640
521	146684	30348
522	146938	30061
523	147218	29780
524	147488	29497
525	147749	29212
526	147998	28925
527	148262	28641
528	148496	28351
529	148746	28065
530	149056	27790
531	149364	27514
532	149659	27236
533	149936	26954
534	150205	26672
535	150472	26388
536	151400	26220
537	151723	25945
538	152061	25672
539	152324	25387
540	152597	25103
541	152850	24816
542	153086	24527
543	153362	24244
544	153618	23958
545	153867	23671
546	154112	23384
547	154378	23100
548	154597	22809
549	154850	22523
550	155104	22238
551	155334	21949
552	155586	21663
553	155830	21377
554	156072	21090
555	156314	20804
556	156562	20518
557	156825	20235
558	157079	19951
559	157334	19666
560	157583	19381
561	157841	19098
562	158113	18816
563	158395	18535
564	158626	18249
565	158886	17966
566	159138	17682
567	159394	17398
568	159636	17113
569	159978	16839
570	160325	16566
571	160575	16282
572	160869	16002
573	161177	15724
574	161507	15448
575	162402	15225
576	162688	14943
577	162962	14660
578	163222	14377
579	163470	14092
580	163701	13806
581	163945	13521
582	164197	13237
583	164496	12956
584	164757	12673
585	165007	12389
586	165249	12105
587	165481	11820
588	165741	11537
589	166001	11254
590	166278	10972
591	166531	10689
592	166802	10407
593	167050	10124
594	167319	9842
595	167424	9551
596	167673	9268
597	167928	8986
598	168169	8703
599	168423	8421
600	168692	8139
601	168935	7857
602	169194	7575
603	169450	7294
604	169689	7011
605	169974	6731
606	170227	6450
607	170471	6168
608	170767	5888
609	171040	5607
610	171314	5327
611	171631	5047
612	171931	4768
613	172838	4503
614	173228	4225
615	173535	3943
616	173804	3661
617	174085	3380
618	174328	3097
619	174608	2816
620	174888	2534
621	175174	2253
622	175419	1971
623	175697	1689
624	175960	1407
625	176235	1126
626	176494	844
627	176741	562
628	177002	281
629	177270	0
