iter	MAE
0	0.06910660492
1	0.0690008437
2	0.06891808745
3	0.06884659575
4	0.06879398195
5	0.06874122518
6	0.06869850542
7	0.06866572636
8	0.06863171277
9	0.06860266389
10	0.0685719799
11	0.06854496075
12	0.06852546364
13	0.06850042423
14	0.06848516218
15	0.06847104945
16	0.0684529067
17	0.0684336019
18	0.06842518728
19	0.068414617
20	0.06839823827
21	0.06838723686
22	0.06837597353
23	0.06836127135
24	0.06834904679
25	0.06833812399
26	0.06832828891
27	0.06831915064
28	0.06830692727
29	0.06829833212
30	0.06828923509
31	0.06828199622
32	0.06827383487
33	0.06826490677
34	0.06825868966
35	0.06824972386
36	0.06824231251
37	0.06823388659
38	0.06822762292
39	0.06822180416
40	0.06821334723
41	0.06820744714
42	0.06820119076
43	0.06819398949
44	0.06818689769
45	0.06818121889
46	0.06817559385
47	0.06816736937
48	0.06816389408
49	0.06815888554
50	0.06815561239
51	0.0681517168
52	0.06814282751
53	0.06813585576
54	0.06813035572
55	0.068126239
56	0.06811815163
57	0.06810986444
58	0.06810520482
59	0.06810123577
60	0.06809689431
61	0.06809327315
62	0.06808825246
63	0.06808266823
64	0.06808067806
65	0.06807191744
66	0.06806973043
67	0.06806486569
68	0.06806249962
69	0.06806093186
70	0.06805969456
71	0.06805681482
72	0.06805114497
73	0.06804996196
74	0.06804489606
75	0.06803947328
76	0.0680356507
77	0.06803102122
78	0.06802567908
79	0.06802362747
80	0.06801864973
81	0.06801325316
82	0.06800703277
83	0.06800570761
84	0.06800148489
85	0.067999624
86	0.06799574516
87	0.06799150517
88	0.06798824881
89	0.06798695664
90	0.06798672087
91	0.06798244836
92	0.06797887701
93	0.06797537681
94	0.06797151587
95	0.06796892661
96	0.06796349311
97	0.0679616451
98	0.06795690955
99	0.06794605806
100	0.06794391205
101	0.06794042969
102	0.06793918994
103	0.06793398071
104	0.06793170236
105	0.06792961639
106	0.06792723296
107	0.06792338855
108	0.06792235657
109	0.06792037034
110	0.06791897354
111	0.06791809133
112	0.06791606501
113	0.06791391899
114	0.06790977286
115	0.06790887666
116	0.06790682782
117	0.06790484129
118	0.06789832455
119	0.06789615394
120	0.06789319086
121	0.06789215449
122	0.06788984432
123	0.06788934106
124	0.06788736078
125	0.06788170429
126	0.06787918147
127	0.06787498623
128	0.06787310213
129	0.06787088893
130	0.06786916585
131	0.06786555378
132	0.06786199601
133	0.06785993793
134	0.06785535494
135	0.06785417524
136	0.06784909542
137	0.06784824258
138	0.06784630434
139	0.06784483453
140	0.06784347033
141	0.06784032582
142	0.06783903165
143	0.06783520226
144	0.06783273004
145	0.06783128657
146	0.06782760013
147	0.0678211687
148	0.06781909704
149	0.06781791518
150	0.06781528379
151	0.06781455089
152	0.06781159186
153	0.06780921308
154	0.06780774392
155	0.06780447069
156	0.06780203723
157	0.06780105449
158	0.06779958568
159	0.06779695844
160	0.06779453289
161	0.06779352025
162	0.06779057133
163	0.06778624568
164	0.06778441877
165	0.06778251435
166	0.06778030043
167	0.0677794007
168	0.06777690437
169	0.06777537055
170	0.06777229285
171	0.06776882141
172	0.06776750184
173	0.06776562053
174	0.06776047695
175	0.06775845591
176	0.06775616766
177	0.0677533399
178	0.06775143323
179	0.06775043594
180	0.06774716688
181	0.06774317455
182	0.06774133807
183	0.06774039937
184	0.06773977755
185	0.06773897963
186	0.06773644936
187	0.06773611208
188	0.06773478277
189	0.06773315601
190	0.06773073193
191	0.06772926227
192	0.06772575816
193	0.06772490695
194	0.06772438958
195	0.06772322994
196	0.06772223978
197	0.06772106634
198	0.06771590699
199	0.06771258477
200	0.06771055181
201	0.06771052334
202	0.06771001652
203	0.06770840473
204	0.06770639356
205	0.06770345259
206	0.06770130363
207	0.06769964563
208	0.06769806393
209	0.06769570164
210	0.06769379664
211	0.06769146212
212	0.06768905308
213	0.06768677578
214	0.06768557444
215	0.06768326441
216	0.06768209914
217	0.06768108528
218	0.06767821349
219	0.067677332
220	0.06767699488
221	0.06767389678
222	0.06767105942
223	0.0676694982
224	0.06766683567
225	0.06766598977
226	0.06766156961
227	0.06765997243
228	0.06765820181
229	0.06765699591
230	0.06765491219
231	0.06765185511
